ID_TEST,ID_CLASA,TITLU,DESCRIERE
1,2,Fundamente Python,Test initial despre conceptele de baza in Python.
2,9,Test Derivate,Evaluare bazata pe derivate si aplicatii.
3,3,Revolutii Moderne,Test despre revolutiile moderne si impactul lor.
4,4,Romantismul in Literatura,Examen despre caracteristicile romantismului.
5,6,Logica Programarii,Testeaza logica si algoritmi de baza.
6,1,Algebra Liniara,"Intrebari despre vectori, matrici si spatii vectoriale."
7,8,Civilizatii Antice,"Quiz despre Egipt, Grecia si Roma antica."
8,7,Analiza Literara Avansata,Test avansat de analiza literara.
9,10,Securitate Web,Test bazat pe principiile securitatii web.
10,5,Geometrie Spatiala,Evaluare despre geometrie spatiala si proiectii.
11,11,Istoria Artei Moderne,Test despre arta moderna si curentele ei.
12,12,Modernism vs. Postmodernism,Comparatie intre modernism si postmodernism.
13,2,Structuri de Date,Test despre structuri de date in Python.
14,9,Integrare Functii,Test bazat pe integrarea functiilor de o variabila.
15,3,Testul Imperiilor,Quiz despre marile imperii ale lumii.
16,6,Bazele OOP,Test despre conceptele de baza ale programarii orientate pe obiect.
17,11,Barocul in Arta,Quiz despre caracteristicile barocului in arta.
18,1,Probleme de Optimizare,Test pe probleme de optimizare matematica.
19,12,Poezia Secolului XX,Intrebari despre poezia secolului al XX-lea.